Run_ID,Base_SIR,Base_SINR,Base_PESQ_NB,Base_PESQ_WB,Base_STOI,Raw_SIR,Raw_SINR,Raw_PESQ_NB,Raw_PESQ_WB,Raw_STOI,Gauss_SIR,Gauss_SINR,Gauss_PESQ_NB,Gauss_PESQ_WB,Gauss_STOI,GAN_SIR,GAN_SINR,GAN_PESQ_NB,GAN_PESQ_WB,GAN_STOI
batch_test_5323,0.00,-2.13,1.225,1.029,0.646,19.78,8.71,1.738,1.148,0.773,16.09,8.24,1.702,1.147,0.764,N/A,N/A,N/A,N/A,N/A
batch_test_5324,-0.06,-2.16,1.215,1.028,0.667,21.06,9.68,1.630,1.139,0.774,17.05,9.10,1.641,1.134,0.771,N/A,N/A,N/A,N/A,N/A
batch_test_5325,-0.04,-2.17,1.362,1.050,0.706,23.99,9.72,2.077,1.456,0.849,18.15,8.86,1.977,1.400,0.826,N/A,N/A,N/A,N/A,N/A
batch_test_5326,-0.02,-2.14,1.350,1.028,0.659,19.16,7.34,1.981,1.162,0.803,15.56,6.72,1.961,1.156,0.792,N/A,N/A,N/A,N/A,N/A
batch_test_5327,0.02,-2.14,1.279,1.040,0.690,20.51,8.66,1.880,1.300,0.803,15.80,8.12,1.889,1.299,0.797,N/A,N/A,N/A,N/A,N/A
batch_test_5328,-0.01,-2.12,1.251,1.025,0.679,9.54,4.20,1.876,1.201,0.742,8.64,3.96,1.896,1.216,0.739,N/A,N/A,N/A,N/A,N/A
batch_test_5329,-0.02,-2.13,1.343,1.069,0.661,19.41,8.87,1.772,1.217,0.780,15.85,8.55,1.740,1.203,0.775,N/A,N/A,N/A,N/A,N/A
batch_test_5330,0.01,-2.14,1.176,1.031,0.583,15.32,6.85,1.588,1.135,0.687,12.29,6.13,1.608,1.150,0.672,N/A,N/A,N/A,N/A,N/A
batch_test_5331,-0.02,-2.13,1.200,1.031,0.648,19.82,8.96,1.773,1.321,0.784,16.54,8.30,1.753,1.306,0.782,N/A,N/A,N/A,N/A,N/A
batch_test_5332,0.04,-2.10,1.450,1.134,0.580,24.38,11.98,1.579,1.141,0.687,19.69,11.42,1.606,1.150,0.688,N/A,N/A,N/A,N/A,N/A
batch_test_5333,0.01,-2.11,1.211,1.031,0.606,18.23,7.94,1.709,1.235,0.710,16.19,7.31,1.679,1.219,0.705,N/A,N/A,N/A,N/A,N/A
batch_test_5334,0.03,-2.09,1.168,1.040,0.652,22.47,9.95,1.848,1.326,0.792,18.11,9.32,1.883,1.343,0.792,N/A,N/A,N/A,N/A,N/A
