Run_ID,Performance_Score,Gauss_PESQ_NB,Gauss_PESQ_WB,Gauss_STOI,Gauss_SINR,Gauss_SIR
batch_test_442,0.705897392768176,2.021,1.545,0.759,11.51,22.91
batch_test_7160,0.7056902990091194,2.141,1.514,0.835,12.62,44.35
batch_test_3047,0.7055722004072248,2.215,1.556,0.615,10.24,18.01
batch_test_9589,0.7052121246677311,2.168,1.523,0.755,9.97,18.53
batch_test_149,0.7041302542537702,2.4,1.757,0.852,10.5,28.11
batch_test_278,0.703952557164401,2.233,1.449,0.847,13.16,32.79
batch_test_1828,0.7036162686591747,2.606,1.721,0.821,11.67,24.0
batch_test_6958,0.703320721284879,2.241,1.553,0.76,13.9,28.13
batch_test_077,0.7032860965276602,2.285,1.622,0.874,12.28,36.51
batch_test_4025,0.702807874890495,2.039,1.386,0.778,11.27,22.36
batch_test_9638,0.7027114358548737,2.04,1.451,0.766,10.16,21.22
batch_test_4803,0.7026028631919827,2.009,1.444,0.609,11.71,23.89
batch_test_7760,0.7025268256212254,2.229,1.646,0.775,11.1,32.2
batch_test_1663,0.7021584811485985,2.176,1.468,0.803,9.81,19.43
batch_test_5169,0.7015396712077385,2.077,1.433,0.695,8.97,18.67
batch_test_5837,0.7014384228650657,2.221,1.559,0.852,12.41,54.43
batch_test_1584,0.7012353934546152,2.268,1.538,0.75,10.46,39.46
batch_test_9308,0.701146420927255,2.162,1.499,0.636,9.52,19.51
batch_test_4266,0.7009448864958484,2.261,1.621,0.833,13.33,37.76
batch_test_5559,0.7009069631683396,1.902,1.337,0.766,11.31,22.44
batch_test_4268,0.7009000698211304,2.299,1.648,0.826,8.01,17.25
batch_test_1232,0.7008633580571633,2.169,1.568,0.845,11.51,51.77
batch_test_896,0.7007604775086899,2.019,1.468,0.722,9.0,15.87
batch_test_5361,0.7007416768378855,1.956,1.448,0.698,9.01,19.07
batch_test_9607,0.7007060303073134,2.032,1.429,0.754,9.18,18.43
batch_test_9968,0.7004205451934223,2.103,1.397,0.736,8.26,23.97
batch_test_4233,0.7002138699499545,1.903,1.366,0.707,8.54,17.21
batch_test_3591,0.6998492820084049,2.263,1.649,0.847,11.32,30.03
batch_test_7320,0.6996495201477123,2.371,1.845,0.857,13.21,32.99
batch_test_5082,0.6995375561489349,2.216,1.421,0.73,7.1,16.01
batch_test_6334,0.6995360874798873,2.091,1.523,0.852,10.15,22.07
batch_test_5141,0.6993056175531517,2.45,1.581,0.752,8.37,15.99
batch_test_6990,0.6991181788912173,1.966,1.397,0.81,9.02,18.38
batch_test_101,0.6991093807549582,2.202,1.516,0.76,9.19,22.87
batch_test_2070,0.6990647749617885,2.119,1.658,0.701,11.93,21.28
batch_test_2777,0.6989864081814898,2.19,1.519,0.706,8.65,19.07
batch_test_5777,0.6988970310618172,2.041,1.549,0.793,11.99,30.11
batch_test_6294,0.6988284446139588,2.107,1.325,0.798,8.88,16.45
