epoch,hp_metric,loss,step,val_loss
,17.30087661743164,,0,
0,,2.578890562057495,49,
0,,0.8468776941299438,99,
0,,0.3231991231441498,149,
0,,0.013315141201019287,199,
0,,-0.12556639313697815,249,
0,,1.4043272733688354,299,
0,,-0.6443300247192383,349,
0,,-2.2335546016693115,399,
0,,0.27005404233932495,449,
0,,0.33339810371398926,499,
0,,-1.8711154460906982,549,
0,,0.9311574697494507,599,
,-1.3451731204986572,,625,
0,,,624,-1.3451731204986572
1,,-0.7157952785491943,649,
1,,-2.2548532485961914,699,
1,,-2.163343906402588,749,
1,,-1.050642490386963,799,
1,,-3.7229509353637695,849,
1,,-2.3634908199310303,899,
1,,-3.4522573947906494,949,
1,,-4.701852321624756,999,
1,,-3.965677499771118,1049,
1,,-4.297126770019531,1099,
1,,-5.8188676834106445,1149,
1,,-4.70065975189209,1199,
1,,-5.187276840209961,1249,
,-4.684496879577637,,1250,
1,,,1249,-4.684496879577637
2,,-5.2771196365356445,1299,
2,,-5.482616424560547,1349,
2,,-3.214601516723633,1399,
2,,-3.345980167388916,1449,
2,,-5.179566860198975,1499,
2,,-6.385217666625977,1549,
2,,-5.295768737792969,1599,
2,,-5.663878440856934,1649,
2,,-5.4529876708984375,1699,
2,,-5.633916854858398,1749,
2,,-5.921722412109375,1799,
2,,-6.521557807922363,1849,
,-5.880960464477539,,1875,
2,,,1874,-5.880960464477539
3,,-4.819545269012451,1899,
3,,-4.876708030700684,1949,
3,,-5.398294448852539,1999,
3,,-5.314212322235107,2049,
3,,-6.048182010650635,2099,
3,,-3.8668787479400635,2149,
3,,-5.532524585723877,2199,
3,,-4.19042444229126,2249,
3,,-5.897085189819336,2299,
3,,-5.89058780670166,2349,
3,,-7.424737453460693,2399,
3,,-6.6187286376953125,2449,
3,,-6.102598190307617,2499,
,-6.306937217712402,,2500,
3,,,2499,-6.306937217712402
4,,-5.467709541320801,2549,
4,,-6.157879829406738,2599,
4,,-4.286468505859375,2649,
4,,-4.414303779602051,2699,
4,,-6.884759902954102,2749,
4,,-7.511859893798828,2799,
4,,-6.044873237609863,2849,
4,,-7.6910529136657715,2899,
4,,-6.142943859100342,2949,
4,,-6.7089080810546875,2999,
4,,-6.499574184417725,3049,
4,,-5.857691287994385,3099,
,-6.828720569610596,,3125,
4,,,3124,-6.828720569610596
5,,-7.5088958740234375,3149,
5,,-6.420085430145264,3199,
5,,-6.690376281738281,3249,
5,,-6.915738105773926,3299,
5,,-7.229705810546875,3349,
5,,-7.1085968017578125,3399,
5,,-7.484658241271973,3449,
5,,-7.2522382736206055,3499,
5,,-8.260921478271484,3549,
5,,-6.288576126098633,3599,
5,,-7.097134590148926,3649,
5,,-3.9573020935058594,3699,
5,,-6.586968421936035,3749,
,-7.034796237945557,,3750,
5,,,3749,-7.034796237945557
6,,-6.645169258117676,3799,
6,,-7.759085178375244,3849,
6,,-7.107964515686035,3899,
6,,-8.05840015411377,3949,
6,,-7.654158592224121,3999,
6,,-7.399490833282471,4049,
6,,-7.12802791595459,4099,
6,,-7.178974151611328,4149,
6,,-6.978446006774902,4199,
6,,-6.320836544036865,4249,
6,,-8.757848739624023,4299,
6,,-7.18942403793335,4349,
,-7.583478927612305,,4375,
6,,,4374,-7.583478927612305
7,,-6.767426013946533,4399,
7,,-7.164802551269531,4449,
7,,-7.808017730712891,4499,
7,,-7.535164833068848,4549,
7,,-8.222000122070312,4599,
7,,-8.0028076171875,4649,
7,,-8.065975189208984,4699,
7,,-7.186249732971191,4749,
7,,-7.3857855796813965,4799,
7,,-8.27866268157959,4849,
7,,-7.897644519805908,4899,
7,,-7.878683090209961,4949,
7,,-8.231586456298828,4999,
,-7.840062618255615,,5000,
7,,,4999,-7.840062618255615
8,,-7.86170768737793,5049,
8,,-8.304204940795898,5099,
8,,-8.084449768066406,5149,
8,,-8.266256332397461,5199,
8,,-6.1854095458984375,5249,
8,,-7.5040178298950195,5299,
8,,-8.281612396240234,5349,
8,,-7.5229902267456055,5399,
8,,-7.014165878295898,5449,
8,,-9.438502311706543,5499,
8,,-8.524497985839844,5549,
8,,-7.747567653656006,5599,
,-7.8454718589782715,,5625,
8,,,5624,-7.8454718589782715
9,,-8.724356651306152,5649,
9,,-9.20442008972168,5699,
9,,-7.804251670837402,5749,
9,,-9.055337905883789,5799,
9,,-8.866786003112793,5849,
9,,-7.708545684814453,5899,
9,,-7.273612022399902,5949,
9,,-7.0626606941223145,5999,
9,,-8.525919914245605,6049,
9,,-9.152578353881836,6099,
9,,-8.322954177856445,6149,
9,,-8.100262641906738,6199,
9,,-9.737126350402832,6249,
,-8.166420936584473,,6250,
