Run_ID,Reverb_Base_SIR,Reverb_Base_SINR,Reverb_Base_PESQ_NB,Reverb_Base_PESQ_WB,Reverb_Base_STOI,Reverb_Oracle_SIR,Reverb_Oracle_SINR,Reverb_Oracle_PESQ_NB,Reverb_Oracle_PESQ_WB,Reverb_Oracle_STOI,NoReverb_Base_SIR,NoReverb_Base_SINR,NoReverb_Base_PESQ_NB,NoReverb_Base_PESQ_WB,NoReverb_Base_STOI,NoReverb_Oracle_SIR,NoReverb_Oracle_SINR,NoReverb_Oracle_PESQ_NB,NoReverb_Oracle_PESQ_WB,NoReverb_Oracle_STOI
batch_test_290,0.00,-2.13,1.428,1.112,0.500,30.94,8.33,2.252,1.425,0.794,-0.02,-2.14,1.253,1.053,0.587,36.27,8.68,2.033,1.293,0.823
batch_test_291,-0.02,-2.14,1.516,1.125,0.689,44.72,7.45,2.173,1.282,0.858,-0.03,-2.14,1.426,1.050,0.753,50.95,7.64,1.853,1.178,0.895
batch_test_292,0.01,-2.13,1.288,1.026,0.534,22.74,7.76,1.806,1.198,0.804,-0.06,-2.19,1.173,1.023,0.651,26.01,8.24,1.607,1.135,0.855
batch_test_293,-0.05,-2.15,1.468,1.127,0.598,29.58,7.79,2.288,1.569,0.836,-0.07,-2.20,1.348,1.084,0.710,34.40,7.58,2.047,1.311,0.883
batch_test_294,0.01,-2.12,1.395,1.031,0.624,24.07,5.69,2.133,1.210,0.871,0.01,-2.14,1.251,1.023,0.699,26.64,6.19,1.842,1.105,0.886
batch_test_295,-0.04,-2.17,1.353,1.036,0.606,58.17,5.31,1.730,1.119,0.723,-0.03,-2.15,1.269,1.023,0.669,60.54,5.99,1.638,1.043,0.775
batch_test_296,-0.02,-2.17,1.419,1.096,0.647,32.09,8.75,2.124,1.416,0.843,-0.04,-2.15,1.299,1.076,0.696,31.11,9.13,1.980,1.317,0.860
batch_test_297,0.02,-2.14,1.332,1.040,0.564,19.95,5.92,1.974,1.251,0.824,-0.02,-2.16,1.234,1.029,0.673,21.48,5.97,1.667,1.117,0.848
batch_test_298,-0.02,-2.14,1.555,1.043,0.600,23.90,4.98,1.927,1.123,0.829,0.02,-2.12,1.385,1.027,0.734,22.93,5.26,1.708,1.076,0.883
batch_test_299,0.01,-2.14,1.342,1.034,0.564,29.04,6.83,2.338,1.251,0.846,-0.02,-2.15,1.299,1.029,0.634,32.41,7.00,2.118,1.168,0.858
batch_test_300,-0.00,-2.13,1.398,1.042,0.617,30.25,6.93,2.760,1.343,0.916,-0.04,-2.17,1.353,1.031,0.699,32.84,7.37,2.445,1.236,0.930
batch_test_301,-0.00,-2.16,1.296,1.053,0.658,25.65,7.30,1.970,1.282,0.859,-0.02,-2.15,1.204,1.039,0.753,28.32,8.10,1.845,1.162,0.883
batch_test_302,-0.03,-2.17,1.235,1.050,0.523,34.49,7.97,1.649,1.101,0.777,0.02,-2.11,1.150,1.041,0.577,39.94,8.35,1.410,1.052,0.783
batch_test_303,0.00,-2.13,1.316,1.038,0.536,27.12,5.99,2.025,1.273,0.818,-0.01,-2.14,1.209,1.023,0.655,29.45,6.42,1.829,1.156,0.846
batch_test_304,-0.01,-2.14,1.309,1.041,0.533,23.57,7.93,1.886,1.205,0.793,0.02,-2.12,1.252,1.034,0.606,27.94,8.30,1.721,1.128,0.817
batch_test_305,-0.00,-2.16,1.296,1.037,0.555,24.22,6.19,1.705,1.135,0.828,0.01,-2.13,1.213,1.028,0.648,25.54,6.58,1.548,1.073,0.852
