Run_ID,Reverb_Base_SIR,Reverb_Base_SINR,Reverb_Base_PESQ_NB,Reverb_Base_PESQ_WB,Reverb_Base_STOI,Reverb_Oracle_SIR,Reverb_Oracle_SINR,Reverb_Oracle_PESQ_NB,Reverb_Oracle_PESQ_WB,Reverb_Oracle_STOI,NoReverb_Base_SIR,NoReverb_Base_SINR,NoReverb_Base_PESQ_NB,NoReverb_Base_PESQ_WB,NoReverb_Base_STOI,NoReverb_Oracle_SIR,NoReverb_Oracle_SINR,NoReverb_Oracle_PESQ_NB,NoReverb_Oracle_PESQ_WB,NoReverb_Oracle_STOI
batch_test_391,0.01,-2.12,1.388,1.046,0.582,29.15,6.42,2.333,1.235,0.877,0.01,-2.12,1.334,1.032,0.685,32.15,6.81,1.975,1.120,0.907
batch_test_392,-0.02,-2.14,1.522,1.088,0.618,28.66,5.21,2.617,1.375,0.870,-0.01,-2.11,1.465,1.056,0.730,30.29,5.89,2.187,1.241,0.907
batch_test_393,0.02,-2.10,1.703,1.141,0.572,24.77,7.56,2.455,1.483,0.859,0.04,-2.11,1.524,1.095,0.639,29.39,7.57,2.100,1.248,0.878
batch_test_394,0.01,-2.11,1.357,1.073,0.518,25.15,8.29,2.132,1.379,0.821,0.01,-2.11,1.295,1.061,0.634,30.80,8.43,1.909,1.244,0.857
batch_test_395,-0.00,-2.13,1.353,1.049,0.533,28.96,7.17,2.143,1.159,0.824,0.03,-2.09,1.348,1.037,0.624,32.11,7.41,1.784,1.087,0.839
batch_test_396,0.04,-2.08,1.249,1.044,0.561,33.66,7.27,2.132,1.249,0.824,-0.06,-2.17,1.182,1.028,0.633,36.48,7.10,1.833,1.114,0.848
batch_test_397,-0.04,-2.17,1.229,1.059,0.491,29.59,8.35,1.792,1.338,0.816,0.05,-2.10,1.207,1.039,0.630,33.37,8.31,1.639,1.147,0.851
batch_test_398,-0.02,-2.16,1.459,1.040,0.455,24.87,7.78,2.040,1.320,0.728,0.02,-2.11,1.389,1.033,0.550,27.61,8.04,1.808,1.175,0.767
batch_test_399,-0.01,-2.13,1.241,1.026,0.546,26.20,8.69,1.918,1.259,0.830,0.03,-2.11,1.162,1.024,0.697,34.02,8.86,1.622,1.150,0.881
batch_test_400,-0.00,-2.11,1.355,1.054,0.604,25.41,7.35,2.088,1.292,0.868,0.00,-2.14,1.278,1.033,0.714,31.60,7.57,1.708,1.126,0.898
batch_test_401,0.00,-2.11,1.499,1.065,0.587,22.59,8.02,1.899,1.279,0.814,-0.00,-2.12,1.380,1.048,0.663,26.91,8.54,1.746,1.164,0.839
batch_test_402,-0.04,-2.14,1.406,1.053,0.573,27.24,8.17,2.029,1.260,0.842,-0.02,-2.13,1.287,1.041,0.691,33.25,8.42,1.799,1.161,0.871
batch_test_403,-0.00,-2.11,1.316,1.051,0.556,26.19,7.63,1.954,1.309,0.839,-0.01,-2.16,1.256,1.040,0.653,32.48,7.78,1.722,1.150,0.873
batch_test_404,0.02,-2.10,1.392,1.073,0.652,29.39,6.34,2.297,1.141,0.876,0.00,-2.13,1.314,1.043,0.737,34.36,6.64,1.968,1.153,0.901
batch_test_405,-0.01,-2.14,1.506,1.090,0.497,32.76,7.33,2.442,1.478,0.816,-0.05,-2.19,1.391,1.066,0.586,38.37,7.38,2.185,1.345,0.848
batch_test_406,-0.03,-2.15,1.243,1.045,0.519,30.07,7.43,1.740,1.129,0.808,0.01,-2.10,1.154,1.024,0.625,32.00,8.20,1.434,1.055,0.831
batch_test_407,0.00,-2.13,1.319,1.032,0.546,29.04,8.89,2.228,1.459,0.853,0.02,-2.11,1.255,1.028,0.692,33.58,9.25,2.079,1.321,0.899
batch_test_408,-0.01,-2.14,1.315,1.066,0.579,32.01,9.56,2.441,1.604,0.865,-0.03,-2.14,1.192,1.042,0.592,33.01,10.30,2.076,1.388,0.835
batch_test_409,0.01,-2.15,1.213,1.033,0.558,25.62,6.64,1.770,1.210,0.827,-0.03,-2.15,1.149,1.028,0.692,26.31,7.26,1.586,1.115,0.854
batch_test_410,0.03,-2.16,1.129,1.020,0.529,37.49,5.57,1.420,1.056,0.741,-0.06,-2.19,1.080,1.019,0.661,35.99,6.38,1.233,1.036,0.821
batch_test_411,-0.04,-2.18,1.400,1.103,0.533,26.21,6.79,2.165,1.352,0.822,-0.01,-2.13,1.321,1.069,0.594,30.21,6.78,1.936,1.183,0.801
batch_test_412,0.03,-2.09,1.377,1.064,0.582,24.98,7.54,1.922,1.329,0.858,-0.03,-2.19,1.266,1.039,0.690,30.53,7.63,1.746,1.231,0.878
batch_test_413,0.00,-2.12,1.143,1.026,0.568,24.64,8.76,1.927,1.325,0.830,0.02,-2.10,1.083,1.024,0.677,25.03,9.20,1.726,1.202,0.866
batch_test_414,0.01,-2.12,1.463,1.066,0.690,32.70,10.00,3.085,2.143,0.925,0.04,-2.10,1.408,1.046,0.773,39.49,10.28,2.617,1.744,0.943
batch_test_415,-0.04,-2.17,1.389,1.068,0.538,28.55,7.95,2.334,1.408,0.794,0.03,-2.11,1.261,1.038,0.609,34.11,8.30,2.060,1.209,0.792
batch_test_416,0.03,-2.11,1.369,1.066,0.561,29.29,9.43,2.125,1.270,0.834,-0.03,-2.16,1.312,1.059,0.674,31.74,9.26,1.854,1.149,0.852
batch_test_417,-0.00,-2.14,1.427,1.060,0.578,27.31,6.57,2.694,1.657,0.886,0.03,-2.12,1.351,1.021,0.712,31.17,6.84,2.279,1.261,0.908
batch_test_418,0.03,-2.10,1.319,1.055,0.554,24.54,6.42,2.376,1.137,0.844,0.03,-2.12,1.292,1.041,0.667,26.04,7.37,2.006,1.098,0.877
batch_test_419,0.00,-2.09,1.277,1.048,0.500,21.27,8.60,2.131,1.396,0.800,0.04,-2.10,1.232,1.042,0.517,26.91,8.48,1.876,1.188,0.759
batch_test_420,-0.07,-2.17,1.370,1.045,0.512,27.30,11.71,2.935,1.936,0.865,-0.04,-2.16,1.418,1.042,0.573,32.57,11.98,2.676,1.653,0.904
batch_test_421,0.02,-2.10,1.354,1.043,0.680,26.39,8.42,2.210,1.456,0.882,0.03,-2.11,1.239,1.036,0.782,30.66,8.71,1.833,1.231,0.903
batch_test_422,0.01,-2.14,1.218,1.022,0.579,28.03,10.71,2.000,1.404,0.828,0.01,-2.12,1.164,1.023,0.690,30.73,11.55,1.817,1.329,0.855
batch_test_423,-0.00,-2.15,1.531,1.094,0.614,32.64,7.55,1.872,1.210,0.788,-0.02,-2.17,1.305,1.035,0.692,34.00,7.96,1.723,1.131,0.838
batch_test_424,-0.03,-2.14,1.358,1.039,0.546,23.19,7.42,1.932,1.268,0.816,-0.03,-2.13,1.229,1.027,0.682,27.75,8.19,1.695,1.145,0.868
batch_test_425,0.02,-2.15,1.401,1.045,0.545,25.19,7.12,2.035,1.314,0.805,0.00,-2.10,1.352,1.038,0.654,30.56,7.88,1.848,1.224,0.858
batch_test_426,-0.01,-2.14,1.276,1.034,0.574,29.02,7.66,1.935,1.263,0.818,0.02,-2.12,1.237,1.030,0.683,36.81,8.19,1.754,1.170,0.857
batch_test_427,0.08,-2.06,1.672,1.097,0.440,29.17,8.72,2.345,1.381,0.810,0.01,-2.12,1.635,1.089,0.515,32.91,8.32,2.201,1.224,0.808
batch_test_428,0.03,-2.10,1.356,1.077,0.567,24.98,7.53,2.027,1.290,0.826,0.00,-2.11,1.246,1.044,0.703,27.03,8.05,1.719,1.159,0.867
batch_test_429,-0.01,-2.15,1.528,1.120,0.585,24.16,5.46,2.076,1.343,0.815,0.01,-2.10,1.412,1.083,0.682,27.52,6.48,1.842,1.193,0.857
batch_test_430,-0.01,-2.15,1.584,1.076,0.627,27.60,7.18,2.678,1.494,0.905,-0.02,-2.13,1.501,1.059,0.721,27.99,7.59,2.398,1.385,0.928
batch_test_431,-0.00,-2.13,1.325,1.033,0.540,25.84,7.20,1.990,1.181,0.811,-0.01,-2.07,1.269,1.027,0.702,26.18,7.73,1.745,1.101,0.856
batch_test_432,0.01,-2.12,1.417,1.077,0.564,31.75,9.64,3.077,1.669,0.853,0.00,-2.11,1.391,1.062,0.604,36.63,10.55,2.819,1.471,0.855
batch_test_433,-0.01,-2.14,1.239,1.042,0.545,30.85,7.39,2.270,1.189,0.846,-0.02,-2.15,1.182,1.028,0.641,36.91,8.00,1.946,1.096,0.868
batch_test_434,0.04,-2.09,1.311,1.054,0.561,16.47,5.10,2.197,1.056,0.874,-0.02,-2.13,1.230,1.028,0.706,17.01,5.35,1.912,1.087,0.912
batch_test_435,0.07,-2.09,1.445,1.065,0.588,26.96,6.40,2.293,1.423,0.834,0.07,-2.08,1.353,1.054,0.699,30.18,6.56,1.970,1.212,0.880
batch_test_436,0.01,-2.14,1.402,1.091,0.606,27.51,7.72,2.053,1.344,0.865,0.01,-2.14,1.279,1.031,0.717,30.56,7.77,1.765,1.136,0.891
batch_test_437,-0.02,-2.14,1.552,1.069,0.547,29.09,6.47,2.241,1.292,0.817,-0.02,-2.14,1.558,1.061,0.602,33.04,6.71,2.139,1.202,0.811
batch_test_438,0.01,-2.12,1.504,1.360,0.405,29.32,8.27,2.022,1.158,0.689,0.05,-2.09,1.345,1.228,0.451,31.56,7.90,1.754,1.067,0.677
batch_test_439,-0.01,-2.10,1.450,1.046,0.592,25.54,6.67,2.088,1.442,0.882,-0.00,-2.11,1.309,1.034,0.709,28.64,6.97,1.896,1.229,0.923
batch_test_440,0.05,-2.09,1.322,1.064,0.467,29.77,9.14,2.108,1.380,0.817,0.03,-2.10,1.226,1.040,0.660,30.72,9.39,1.895,1.228,0.853
batch_test_441,-0.04,-2.15,1.335,1.050,0.589,22.94,8.19,1.847,1.265,0.845,0.04,-2.11,1.266,1.038,0.711,26.62,8.92,1.659,1.144,0.868
batch_test_442,-0.02,-2.15,1.414,1.088,0.545,30.97,8.59,2.274,1.434,0.861,0.02,-2.11,1.285,1.090,0.608,37.05,9.10,2.068,1.282,0.856
batch_test_443,-0.01,-2.12,1.403,1.034,0.545,27.94,7.38,1.967,1.160,0.782,-0.01,-2.15,1.319,1.029,0.623,32.19,7.60,1.734,1.083,0.779
batch_test_444,0.00,-2.12,1.347,1.038,0.460,28.46,8.68,1.956,1.367,0.776,-0.01,-2.13,1.300,1.040,0.589,32.30,8.70,1.815,1.255,0.845
batch_test_445,0.02,-2.08,1.347,1.077,0.634,25.32,6.73,2.157,1.488,0.903,-0.00,-2.11,1.236,1.042,0.743,26.62,7.14,1.877,1.216,0.920
batch_test_446,-0.00,-2.13,1.408,1.073,0.507,28.95,7.98,2.231,1.400,0.815,0.06,-2.06,1.323,1.049,0.594,30.91,8.15,1.949,1.225,0.838
batch_test_447,-0.02,-2.13,1.432,1.049,0.608,23.99,7.70,2.656,1.645,0.890,0.03,-2.12,1.359,1.038,0.726,26.91,8.57,2.462,1.558,0.913
batch_test_448,0.04,-2.08,1.358,1.081,0.501,25.19,7.33,2.081,1.383,0.822,0.01,-2.10,1.270,1.063,0.607,28.75,7.90,1.976,1.252,0.855
batch_test_449,-0.01,-2.12,1.258,1.042,0.568,25.46,6.24,2.087,1.066,0.844,-0.01,-2.15,1.236,1.034,0.662,29.90,6.79,1.745,1.045,0.862
batch_test_450,0.01,-2.12,1.354,1.043,0.534,24.85,6.44,1.980,1.201,0.801,0.01,-2.15,1.259,1.027,0.642,29.56,6.77,1.728,1.105,0.845
batch_test_451,-0.02,-2.18,1.338,1.051,0.581,29.28,7.13,1.970,1.219,0.798,0.01,-2.14,1.317,1.038,0.601,31.18,7.23,1.878,1.149,0.797
batch_test_452,0.08,-2.05,1.377,1.054,0.663,24.80,7.92,2.212,1.367,0.871,-0.02,-2.16,1.267,1.041,0.749,31.37,8.24,1.874,1.196,0.893
batch_test_453,-0.02,-2.14,1.394,1.053,0.511,30.60,9.15,2.402,1.759,0.848,0.03,-2.10,1.377,1.043,0.628,34.79,9.30,2.113,1.504,0.877
batch_test_454,-0.01,-2.15,1.394,1.076,0.473,26.99,8.65,2.259,1.585,0.806,0.03,-2.12,1.320,1.052,0.577,30.99,8.97,2.042,1.472,0.826
batch_test_455,-0.02,-2.13,1.517,1.107,0.684,29.88,6.51,2.168,1.263,0.864,-0.01,-2.13,1.362,1.064,0.766,34.03,6.69,1.815,1.133,0.901
batch_test_456,-0.03,-2.17,1.290,1.065,0.509,25.63,8.77,1.940,1.324,0.784,-0.01,-2.11,1.256,1.048,0.563,27.71,8.63,1.776,1.201,0.806
batch_test_457,0.05,-2.09,1.294,1.056,0.585,31.80,9.32,2.431,1.532,0.851,-0.01,-2.13,1.233,1.041,0.691,36.54,10.40,2.245,1.463,0.892
batch_test_458,-0.02,-2.16,1.376,1.070,0.491,27.15,6.90,2.139,1.478,0.839,-0.01,-2.16,1.262,1.046,0.621,33.39,7.08,1.882,1.221,0.884
batch_test_459,-0.01,-2.13,1.432,1.077,0.493,28.63,9.08,2.152,1.337,0.827,0.02,-2.12,1.279,1.051,0.655,31.98,9.05,1.804,1.203,0.858
batch_test_460,-0.02,-2.14,1.406,1.074,0.574,23.73,6.92,2.026,1.353,0.848,0.01,-2.13,1.336,1.051,0.650,27.23,6.97,1.747,1.185,0.862
batch_test_461,0.03,-2.11,1.390,1.056,0.622,26.72,7.69,2.068,1.290,0.827,0.00,-2.11,1.309,1.040,0.702,30.67,8.29,1.788,1.144,0.861
batch_test_462,0.01,-2.12,1.413,1.044,0.564,26.72,6.29,2.327,1.190,0.868,-0.03,-2.16,1.317,1.034,0.692,30.48,6.86,2.087,1.120,0.903
batch_test_463,0.00,-2.09,1.302,1.030,0.582,25.73,8.13,2.065,1.433,0.846,0.07,-2.06,1.267,1.028,0.691,28.86,8.38,1.867,1.285,0.877
batch_test_464,-0.03,-2.14,1.485,1.083,0.517,32.95,10.09,2.308,1.458,0.811,-0.01,-2.14,1.347,1.079,0.660,36.99,9.52,2.045,1.311,0.849
batch_test_465,0.01,-2.11,1.262,1.025,0.505,26.22,7.96,2.086,1.287,0.827,0.00,-2.15,1.232,1.028,0.613,30.90,8.27,1.845,1.189,0.859
batch_test_466,-0.02,-2.14,1.223,1.057,0.544,28.56,9.17,1.808,1.343,0.834,0.06,-2.11,1.191,1.032,0.637,33.39,9.29,1.683,1.248,0.856
batch_test_467,-0.01,-2.13,1.380,1.031,0.632,27.07,6.59,2.176,1.259,0.860,0.00,-2.14,1.274,1.023,0.773,28.97,7.06,1.806,1.114,0.916
batch_test_468,-0.01,-2.16,1.244,1.026,0.571,28.07,9.36,2.354,1.657,0.869,-0.00,-2.13,1.132,1.023,0.690,31.47,10.19,1.935,1.342,0.890
batch_test_469,-0.04,-2.16,1.398,1.044,0.585,23.53,7.22,2.437,1.344,0.883,-0.02,-2.15,1.259,1.030,0.717,24.94,7.83,2.088,1.248,0.916
batch_test_470,-0.01,-2.11,1.330,1.047,0.476,30.39,8.10,2.023,1.301,0.785,-0.03,-2.14,1.289,1.038,0.528,35.99,8.76,1.792,1.134,0.783
batch_test_471,-0.03,-2.17,1.082,1.051,0.518,23.63,8.81,2.153,1.346,0.866,-0.02,-2.14,1.128,1.032,0.650,26.19,9.74,1.972,1.253,0.899
batch_test_472,0.02,-2.11,1.385,1.059,0.606,33.54,7.73,2.108,1.213,0.865,-0.00,-2.13,1.288,1.040,0.689,31.29,8.71,1.989,1.174,0.905
batch_test_473,-0.02,-2.17,1.352,1.050,0.575,26.79,6.67,2.236,1.360,0.836,0.02,-2.13,1.312,1.033,0.685,31.09,6.72,1.778,1.145,0.854
batch_test_474,0.01,-2.11,1.561,1.102,0.661,33.67,9.73,2.715,1.985,0.902,0.02,-2.12,1.456,1.057,0.760,34.22,10.34,2.526,1.851,0.936
batch_test_475,-0.05,-2.18,1.687,1.139,0.739,40.10,9.14,2.352,1.737,0.857,0.02,-2.11,1.567,1.096,0.740,37.32,9.31,2.332,1.626,0.899
batch_test_476,-0.01,-2.09,1.325,1.065,0.531,22.91,8.29,1.738,1.330,0.806,-0.01,-2.15,1.130,1.032,0.620,28.22,8.17,1.506,1.143,0.826
batch_test_477,0.02,-2.12,1.342,1.071,0.569,26.12,8.38,1.917,1.217,0.836,0.01,-2.13,1.373,1.049,0.578,26.65,8.20,1.779,1.116,0.786
batch_test_478,0.01,-2.10,1.289,1.037,0.579,22.95,6.40,2.228,1.205,0.842,-0.01,-2.11,1.218,1.026,0.694,25.27,7.04,1.850,1.100,0.874
batch_test_479,-0.01,-2.13,1.500,1.088,0.686,34.00,7.97,2.261,1.438,0.888,0.00,-2.14,1.364,1.056,0.744,39.25,8.02,2.023,1.200,0.900
batch_test_480,-0.00,-2.13,1.246,1.037,0.560,33.31,7.65,1.816,1.176,0.773,-0.02,-2.15,1.196,1.029,0.644,34.24,7.90,1.578,1.104,0.816
batch_test_481,0.01,-2.15,1.426,1.050,0.559,24.37,7.39,1.973,1.221,0.823,-0.03,-2.15,1.284,1.035,0.673,25.40,8.08,1.719,1.113,0.852
batch_test_482,-0.01,-2.13,1.393,1.060,0.501,24.57,8.28,2.011,1.384,0.841,0.02,-2.12,1.288,1.043,0.617,30.25,8.49,1.761,1.232,0.863
batch_test_483,0.01,-2.12,1.286,1.047,0.596,25.86,7.14,2.261,1.167,0.883,-0.02,-2.17,1.191,1.041,0.677,31.52,8.01,1.924,1.117,0.894
batch_test_484,0.01,-2.12,1.462,1.061,0.643,25.83,7.26,2.369,1.328,0.870,0.01,-2.12,1.425,1.048,0.792,32.87,8.10,2.015,1.155,0.912
batch_test_485,-0.00,-2.13,1.276,1.038,0.595,24.85,8.54,2.170,1.478,0.828,0.00,-2.14,1.215,1.029,0.711,28.48,8.80,1.891,1.235,0.871
batch_test_486,-0.01,-2.14,1.361,1.063,0.605,35.23,6.42,1.642,1.199,0.748,-0.03,-2.16,1.251,1.037,0.711,36.16,7.10,1.516,1.117,0.831
batch_test_487,-0.01,-2.13,1.307,1.076,0.626,25.88,6.68,2.151,1.312,0.881,0.01,-2.11,1.227,1.060,0.678,32.38,7.29,1.822,1.149,0.897
batch_test_488,0.02,-2.09,1.399,1.029,0.467,20.57,6.45,2.009,1.219,0.747,-0.01,-2.12,1.280,1.024,0.497,24.15,6.87,1.711,1.108,0.724
batch_test_489,0.03,-2.11,1.395,1.060,0.682,35.87,9.63,2.990,1.450,0.923,-0.01,-2.15,1.293,1.045,0.758,40.71,10.86,2.580,1.403,0.946
batch_test_490,-0.01,-2.12,1.220,1.034,0.499,28.27,9.39,1.826,1.266,0.790,-0.02,-2.15,1.257,1.030,0.590,34.61,9.81,1.728,1.181,0.817
batch_test_491,0.00,-2.13,1.427,1.041,0.565,26.69,6.52,2.218,1.129,0.852,-0.01,-2.13,1.331,1.033,0.657,27.24,6.67,1.912,1.084,0.872
batch_test_492,0.03,-2.11,2.128,1.073,0.432,27.17,9.21,1.870,1.309,0.724,-0.04,-2.14,1.237,1.046,0.508,29.71,9.18,1.679,1.169,0.754
batch_test_493,0.04,-2.07,1.350,1.036,0.584,23.48,6.59,2.032,1.223,0.832,0.03,-2.09,1.299,1.029,0.684,26.37,7.04,1.815,1.132,0.881
batch_test_494,-0.08,-2.21,1.245,1.039,0.551,28.85,9.45,2.064,1.299,0.823,-0.03,-2.16,1.198,1.035,0.622,29.13,9.39,1.841,1.180,0.846
batch_test_495,-0.00,-2.13,1.379,1.036,0.537,23.18,6.39,2.221,1.129,0.879,0.00,-2.13,1.304,1.026,0.649,26.15,7.43,2.002,1.084,0.907
batch_test_496,0.04,-2.09,1.080,1.054,0.595,28.18,5.41,1.527,1.064,0.750,0.01,-2.14,1.146,1.036,0.695,34.44,6.16,1.338,1.039,0.829
batch_test_497,0.01,-2.10,1.305,1.027,0.613,23.82,9.23,2.487,1.475,0.899,-0.02,-2.15,1.197,1.020,0.752,30.03,10.66,2.270,1.414,0.935
batch_test_498,-0.04,-2.15,1.438,1.041,0.618,27.60,9.21,2.425,1.793,0.878,0.00,-2.12,1.338,1.025,0.716,29.26,9.80,2.200,1.576,0.914
batch_test_499,-0.03,-2.14,1.361,1.069,0.674,35.22,8.88,2.575,1.584,0.910,-0.00,-2.13,1.343,1.044,0.802,35.95,9.00,2.298,1.369,0.945
